File: FE2.TRK
Size: 37330944 bytes

reached end of file!
Chunk 287 0 | SHOC | (7744 bytes)
Chunk 288 0 | SHOC | (60 bytes)
Chunk 289 0 | SHOC | (8188 bytes)
Chunk 290 0 | FILL | (396 bytes)
Chunk 291 0 | SHOC | (8188 bytes)
Chunk 292 0 | SHOC | (5028 bytes)
Chunk 293 0 | SHOC | (60 bytes)
Chunk 294 0 | SHOC | (8188 bytes)
Chunk 295 0 | FILL | (3112 bytes)
Chunk 296 0 | SHOC | (8188 bytes)
Chunk 297 0 | SHOC | (8188 bytes)
Chunk 298 0 | SHOC | (2748 bytes)
Chunk 299 0 | SHOC | (60 bytes)
Chunk 300 0 | FILL | (5392 bytes)
Chunk 301 0 | SHOC | (8192 bytes)
Chunk 302 0 | SHOC | (8188 bytes)
Chunk 303 0 | SHOC | (8188 bytes)
Chunk 304 0 | FILL | (8 bytes)
Chunk 305 0 | SHOC | (8188 bytes)
Chunk 306 0 | SHOC | (8188 bytes)
Chunk 307 0 | SHOC | (3864 bytes)
Chunk 308 0 | SHOC | (60 bytes)
Chunk 309 0 | FILL | (4276 bytes)
Chunk 310 0 | SHOC | (8188 bytes)
Chunk 311 0 | SHOC | (8188 bytes)
Chunk 312 0 | SHOC | (8188 bytes)
Chunk 313 0 | FILL | (12 bytes)
Chunk 314 0 | SHOC | (8188 bytes)
Chunk 315 0 | SHOC | (8188 bytes)
Chunk 316 0 | SHOC | (6188 bytes)
Chunk 317 0 | SHOC | (60 bytes)
Chunk 318 0 | FILL | (1952 bytes)
Chunk 319 0 | SHOC | (8188 bytes)
Chunk 320 0 | SHOC | (8192 bytes)
Chunk 321 0 | SHOC | (8192 bytes)
Chunk 322 1A9FFC | FILL | (0 bytes)
Chunk 323 0 | SHOC | (8188 bytes)
Chunk 324 0 | SHOC | (5864 bytes)
Chunk 325 0 | SHOC | (60 bytes)
Chunk 326 0 | SHOC | (8188 bytes)
Chunk 327 0 | FILL | (2276 bytes)
Chunk 328 0 | SHOC | (8188 bytes)
Chunk 329 0 | SHOC | (8188 bytes)
Chunk 330 0 | SHOC | (8192 bytes)
Chunk 331 0 | FILL | (8 bytes)
Chunk 332 0 | SHOC | (8188 bytes)
Chunk 333 0 | SHOC | (1556 bytes)
Chunk 334 0 | SHOC | (60 bytes)
Chunk 335 0 | SHOC | (6604 bytes)
Chunk 336 0 | SHOC | (60 bytes)
Chunk 337 0 | FILL | (8108 bytes)
Chunk 338 0 | SHOC | (8188 bytes)
Chunk 339 0 | SHOC | (8192 bytes)
Chunk 340 0 | SHOC | (8188 bytes)
Chunk 341 0 | FILL | (8 bytes)
Chunk 342 0 | SHOC | (8188 bytes)
Chunk 343 0 | SHOC | (8188 bytes)
Chunk 344 0 | SHOC | (4108 bytes)
Chunk 345 0 | SHOC | (60 bytes)
Chunk 346 0 | FILL | (4032 bytes)
Chunk 347 0 | SHOC | (8188 bytes)
Chunk 348 0 | SHOC | (8192 bytes)
Chunk 349 0 | SHOC | (8188 bytes)
Chunk 350 0 | FILL | (8 bytes)
Chunk 351 0 | SHOC | (7096 bytes)
Chunk 352 0 | SHOC | (60 bytes)
Chunk 353 0 | SHOC | (8188 bytes)
Chunk 354 0 | SHOC | (8188 bytes)
Chunk 355 0 | FILL | (1044 bytes)
Chunk 356 0 | SHOC | (8188 bytes)
Chunk 357 0 | SHOC | (1328 bytes)
Chunk 358 0 | SHOC | (60 bytes)
Chunk 359 0 | SHOC | (8188 bytes)
Chunk 360 0 | FILL | (6812 bytes)
Chunk 361 0 | SHOC | (8192 bytes)
Chunk 362 0 | SHOC | (8188 bytes)
Chunk 363 0 | SHOC | (8188 bytes)
Chunk 364 0 | FILL | (8 bytes)
Chunk 365 0 | SHOC | (8188 bytes)
Chunk 366 0 | SHOC | (8188 bytes)
Chunk 367 0 | SHOC | (428 bytes)
Chunk 368 0 | SHOC | (60 bytes)
Chunk 369 0 | FILL | (7712 bytes)
Chunk 370 0 | SHOC | (8188 bytes)
Chunk 371 0 | SHOC | (8188 bytes)
Chunk 372 0 | SHOC | (8188 bytes)
Chunk 373 0 | FILL | (12 bytes)
Chunk 374 0 | SHOC | (8188 bytes)
Chunk 375 0 | SHOC | (8192 bytes)
Chunk 376 0 | SHOC | (8188 bytes)
Chunk 377 0 | FILL | (8 bytes)
Chunk 378 0 | SHOC | (8188 bytes)
Chunk 379 0 | SHOC | (2764 bytes)
Chunk 380 0 | SHOC | (60 bytes)
Chunk 381 0 | SHOC | (8188 bytes)
Chunk 382 0 | FILL | (5376 bytes)
Chunk 383 0 | SHOC | (8188 bytes)
Chunk 384 0 | SHOC | (8188 bytes)
Chunk 385 0 | SHOC | (8188 bytes)
Chunk 386 0 | FILL | (12 bytes)
Chunk 387 0 | SHOC | (8188 bytes)
Chunk 388 0 | SHOC | (8188 bytes)
Chunk 389 0 | SHOC | (8192 bytes)
Chunk 390 0 | FILL | (8 bytes)
Chunk 391 0 | SHOC | (8188 bytes)
Chunk 392 0 | SHOC | (5836 bytes)
Chunk 393 0 | SHOC | (60 bytes)
Chunk 394 0 | SHOC | (8188 bytes)
Chunk 395 0 | FILL | (2304 bytes)
Chunk 396 0 | SHOC | (8188 bytes)
Chunk 397 0 | SHOC | (8188 bytes)
Chunk 398 0 | SHOC | (8188 bytes)
Chunk 399 0 | FILL | (12 bytes)
Chunk 400 0 | SHOC | (1452 bytes)
Chunk 401 0 | SHOC | (60 bytes)
Chunk 402 0 | SHOC | (1636 bytes)
Chunk 403 0 | SHOC | (60 bytes)
Chunk 404 0 | SHOC | (660 bytes)
Chunk 405 0 | SHOC | (60 bytes)
Chunk 406 0 | SHOC | (660 bytes)
Chunk 407 0 | SHOC | (60 bytes)
Chunk 408 0 | SHOC | (660 bytes)
Chunk 409 0 | SHOC | (60 bytes)
Chunk 410 0 | SHOC | (660 bytes)
Chunk 411 0 | SHOC | (60 bytes)
Chunk 412 0 | SHOC | (5448 bytes)
Chunk 413 0 | SHOC | (60 bytes)
Chunk 414 0 | SHOC | (5896 bytes)
Chunk 415 0 | SHOC | (60 bytes)
Chunk 416 0 | SHOC | (5896 bytes)
Chunk 417 0 | SHOC | (60 bytes)
Chunk 418 0 | FILL | (1068 bytes)
Chunk 419 0 | SHOC | (6528 bytes)
Chunk 420 0 | SHOC | (60 bytes)
Chunk 421 0 | SHOC | (6596 bytes)
Chunk 422 0 | SHOC | (60 bytes)
Chunk 423 0 | SHOC | (6564 bytes)
Chunk 424 0 | SHOC | (60 bytes)
Chunk 425 0 | FILL | (4708 bytes)
Chunk 426 0 | SHOC | (5464 bytes)
Chunk 427 0 | SHOC | (60 bytes)
Chunk 428 0 | SHOC | (5600 bytes)
Chunk 429 0 | SHOC | (60 bytes)
Chunk 430 0 | SHOC | (6216 bytes)
Chunk 431 0 | SHOC | (60 bytes)
Chunk 432 0 | SHOC | (6436 bytes)
Chunk 433 0 | SHOC | (60 bytes)
Chunk 434 0 | FILL | (620 bytes)
Chunk 435 0 | SHOC | (6968 bytes)
Chunk 436 0 | SHOC | (60 bytes)
Chunk 437 0 | SHOC | (7552 bytes)
Chunk 438 0 | SHOC | (60 bytes)
Chunk 439 0 | SHOC | (6072 bytes)
Chunk 440 0 | SHOC | (60 bytes)
Chunk 441 0 | FILL | (3804 bytes)
Chunk 442 0 | SHOC | (5848 bytes)
Chunk 443 0 | SHOC | (60 bytes)
Chunk 444 0 | SHOC | (5920 bytes)
Chunk 445 0 | SHOC | (60 bytes)
Chunk 446 0 | SHOC | (7228 bytes)
Chunk 447 0 | SHOC | (60 bytes)
Chunk 448 0 | FILL | (5400 bytes)
Chunk 449 0 | SHOC | (7544 bytes)
Chunk 450 0 | SHOC | (60 bytes)
Chunk 451 0 | SHOC | (7552 bytes)
Chunk 452 0 | SHOC | (60 bytes)
Chunk 453 0 | SHOC | (5292 bytes)
Chunk 454 0 | SHOC | (60 bytes)
Chunk 455 0 | FILL | (4008 bytes)
Chunk 456 0 | SHOC | (6204 bytes)
Chunk 457 0 | SHOC | (60 bytes)
Chunk 458 0 | SHOC | (6744 bytes)
Chunk 459 0 | SHOC | (60 bytes)
Chunk 460 0 | SHOC | (6132 bytes)
Chunk 461 0 | SHOC | (60 bytes)
Chunk 462 0 | FILL | (5316 bytes)
Chunk 463 0 | SHOC | (6148 bytes)
Chunk 464 0 | SHOC | (60 bytes)
Chunk 465 0 | SHOC | (6176 bytes)
Chunk 466 0 | SHOC | (60 bytes)
Chunk 467 0 | SHOC | (7268 bytes)
Chunk 468 0 | SHOC | (60 bytes)
Chunk 469 0 | FILL | (4804 bytes)
